원본행,교과군,과목명,학교지정,학년선택,과목유형,비고_전문_고시외_표6,학생선택_원문,선택군_코드,선택군_학년학기,선택군_선택수,선택군_과목당학점,선택군_총학점,선택군_행범위,기본학점,1-1_원본,1-2_원본,2-1_원본,2-2_원본,3-1_원본,3-2_원본,1-1_학점,1-2_학점,2-1_학점,2-2_학점,3-1_학점,3-2_학점,편성학점,교과군별이수학점,필수이수학점,과학중점,정보중점,사회중점,인문중점,캠공개설여부,비고
Table0_Row23,과학,과학탐구실험1,True,,공통,,,,,,,,,1,1,,,,,,1,,,,,,1,,,,,,,,"수능 공통 과목통합과학1,2"
Table0_Row24,과학,과학탐구실험2,True,,공통,,,,,,,,,1,,1,,,,,,1,,,,,1,,,,,,,,"수능 공통 과목통합과학1,2"
Table0_Row25,체육,스포츠 문화,True,,진로,,,,,,,,,2,1,,,,,,1,,,,,,1,,,,,,,,
Table0_Row26,체육,스포츠 과학,True,,진로,,,,,,,,,2,,1,,,,,,1,,,,,1,,,,,,,,
Table0_Row27,체육,체육1,True,,일반,,,,,,,,,3,,,2,,,,,,2,,,,2,,,,,,,,
Table0_Row28,체육,체육2,True,,일반,,,,,,,,,3,,,,2,,,,,,2,,,2,,,,,,,,
Table0_Row29,체육,운동과 건강,True,,진로,,,,,,,,,3,,,,,2,,,,,,2,,2,,,,,,,,
Table0_Row30,체육,스포츠 생활1,True,,융합,,,,,,,,,3,,,,,,2,,,,,,2,2,,,,,,,,
Table0_Row31,예술,음악↔,True,,일반,,,,,,,,,3,2,,,,,,2,,,,,,2,,,,,,,,교차이수
Table0_Row32,예술,미술↔,True,,일반,,,,,,,,,3,,2,,,,,,2,,,,,2,,,,,,,,교차이수
Table0_Row33,예술,음악 연주와 창작↔,True,,진로,,,,,,,,,3,,,3,,,,,,3,,,,3,,,,,,,,교차이수
Table0_Row34,예술,미술 창작↔,True,,진로,,,,,,,,,3,,,,3,,,,,,3,,,3,,,,,,,,교차이수
Table0_Row35,기술·가정/정보/제2외국어/한문/교양,기술･가정,True,,일반,,,,,,,,,4,3,,,,,,3,,,,,,3,,,,,,,,
Table0_Row36,기술·가정/정보/제2외국어/한문/교양,생활과학 탐구,True,,진로,,,,,,,,,4,,3,,,,,,3,,,,,3,,,,,,,,
Table0_Row37,기술·가정/정보/제2외국어/한문/교양,생애 설계와 자립,True,,융합,,,,,,,,,2,,,,,,1,,,,,,1,1,,,,,,,,
Table0_Row39,선택군1,세계시민과 지리,,True,일반,,택2,2-1-선택군1-택2(4),2-1,2,4,8,39:46,4,,,8,,,,,,4,,,,4,,,,,,,,
Table0_Row40,선택군1,사회와 문화,,True,일반,,택2,2-1-선택군1-택2(4),2-1,2,4,8,39:46,4,,,8,,,,,,4,,,,4,,,,,,,,
Table0_Row41,선택군1,현대사회와 윤리,,True,일반,,택2,2-1-선택군1-택2(4),2-1,2,4,8,39:46,4,,,8,,,,,,4,,,,4,,,,,,,,
Table0_Row42,선택군1,세계사,,True,일반,,택2,2-1-선택군1-택2(4),2-1,2,4,8,39:46,4,,,8,,,,,,4,,,,4,,,,,,,,
Table0_Row43,선택군1,물리학,,True,일반,,택2,2-1-선택군1-택2(4),2-1,2,4,8,39:46,4,,,8,,,,,,4,,,,4,,,,,,,,
Table0_Row44,선택군1,화학,,True,일반,,택2,2-1-선택군1-택2(4),2-1,2,4,8,39:46,4,,,8,,,,,,4,,,,4,,,,,,,,
Table0_Row45,선택군1,생명과학,,True,일반,,택2,2-1-선택군1-택2(4),2-1,2,4,8,39:46,4,,,8,,,,,,4,,,,4,,,,,,,,
Table0_Row46,선택군1,지구과학,,True,일반,,택2,2-1-선택군1-택2(4),2-1,2,4,8,39:46,4,,,8,,,,,,4,,,,4,,,,,,,,
Table0_Row47,선택군2,한국지리 탐구,,True,진로,,택2,2-2-선택군2-택2(4),2-2,2,4,8,47:54,4,,,,8,,,,,,4,,,4,,,,,,,,
Table0_Row48,선택군2,법과 사회,,True,진로,,택2,2-2-선택군2-택2(4),2-2,2,4,8,47:54,4,,,,8,,,,,,4,,,4,,,,,,,,
Table0_Row49,선택군2,윤리와 사상,,True,진로,,택2,2-2-선택군2-택2(4),2-2,2,4,8,47:54,4,,,,8,,,,,,4,,,4,,,,,,,,
Table0_Row50,선택군2,세계사,,True,일반,,택2,2-2-선택군2-택2(4),2-2,2,4,8,47:54,4,,,,8,,,,,,4,,,4,,,,,,,,
Table0_Row51,선택군2,물리학,,True,일반,,택2,2-2-선택군2-택2(4),2-2,2,4,8,47:54,4,,,,8,,,,,,4,,,4,,,,,,,,
Table0_Row52,선택군2,화학,,True,일반,,택2,2-2-선택군2-택2(4),2-2,2,4,8,47:54,4,,,,8,,,,,,4,,,4,,,,,,,,
Table0_Row53,선택군2,생명과학,,True,일반,,택2,2-2-선택군2-택2(4),2-2,2,4,8,47:54,4,,,,8,,,,,,4,,,4,,,,,,,,
Table0_Row54,선택군2,지구과학,,True,일반,,택2,2-2-선택군2-택2(4),2-2,2,4,8,47:54,4,,,,8,,,,,,4,,,4,,,,,,,,
Table1_Row0,선택군3,주제 탐구 독서,,True,진로,,택2,3-1-선택군3-택2(3),3-1,2,3,6,55:59,4,,,,,6,,,,,,3,,3,,,,,,,,
Table1_Row1,선택군3,기하,,True,진로,,택2,3-1-선택군3-택2(3),3-1,2,3,6,55:59,4,,,,,6,,,,,,3,,3,,,,,,,,
Table1_Row2,선택군3,미적분Ⅱ,,True,진로,,택2,3-1-선택군3-택2(3),3-1,2,3,6,55:59,4,,,,,6,,,,,,3,,3,,,,,,,,
Table1_Row3,선택군3,영어 독해와 작문,,True,일반,,택2,3-1-선택군3-택2(3),3-1,2,3,6,55:59,4,,,,,6,,,,,,3,,3,,,,,,,,
Table1_Row4,선택군3,미디어 영어,,True,융합,,택2,3-1-선택군3-택2(3),3-1,2,3,6,55:59,4,,,,,6,,,,,,3,,3,,,,,,,,
Table1_Row5,선택군4,도시의 미래 탐구,,True,진로,,택2,3-1-선택군4-택2(4),3-1,2,4,8,60:69,4,,,,,8,,,,,,4,,4,,,,,,,,
Table1_Row6,선택군4,경제,,True,진로,,택2,3-1-선택군4-택2(4),3-1,2,4,8,60:69,4,,,,,8,,,,,,4,,4,,,,,,,,
Table1_Row7,선택군4,인문학과 윤리,,True,진로,,택2,3-1-선택군4-택2(4),3-1,2,4,8,60:69,4,,,,,8,,,,,,4,,4,,,,,,,,
Table1_Row8,선택군4,동아시아 역사 기행,,True,진로,,택2,3-1-선택군4-택2(4),3-1,2,4,8,60:69,4,,,,,8,,,,,,4,,4,,,,,,,,
Table1_Row9,선택군4,기후변화와 지속가능한 세계,,True,융합,,택2,3-1-선택군4-택2(4),3-1,2,4,8,60:69,4,,,,,8,,,,,,4,,4,,,,,,,,
Table1_Row10,선택군4,세포와 물질대사,,True,진로,,택2,3-1-선택군4-택2(4),3-1,2,4,8,60:69,4,,,,,8,,,,,,4,,4,,,,,,,,
Table1_Row11,선택군4,물질과 에너지,,True,진로,,택2,3-1-선택군4-택2(4),3-1,2,4,8,60:69,4,,,,,8,,,,,,4,,4,,,,,,,,
Table1_Row12,선택군4,역학과 에너지,,True,진로,,택2,3-1-선택군4-택2(4),3-1,2,4,8,60:69,4,,,,,8,,,,,,4,,4,,,,,,,,
Table1_Row13,선택군4,지구시스템과학,,True,진로,,택2,3-1-선택군4-택2(4),3-1,2,4,8,60:69,4,,,,,8,,,,,,4,,4,,,,,,,,
Table1_Row14,선택군4,과학의 역사와 문화,,True,융합,,택2,3-1-선택군4-택2(4),3-1,2,4,8,60:69,4,,,,,8,,,,,,4,,4,,,,,,,,
Table1_Row15,선택군5,문학과 영상,,True,진로,,택4,3-2-선택군5-택4(4),3-2,4,4,16,70:75,4,,,,,,16,,,,,,4,4,,,,,,,,
Table1_Row16,선택군5,독서 토론과 글쓰기,,True,융합,,택4,3-2-선택군5-택4(4),3-2,4,4,16,70:75,4,,,,,,16,,,,,,4,4,,,,,,,,
Table1_Row17,선택군5,경제 수학,,True,진로,,택4,3-2-선택군5-택4(4),3-2,4,4,16,70:75,4,,,,,,16,,,,,,4,4,,,,,,,,
Table1_Row18,선택군5,실용 통계,,True,융합,,택4,3-2-선택군5-택4(4),3-2,4,4,16,70:75,4,,,,,,16,,,,,,4,4,,,,,,,,
Table1_Row19,선택군5,영미 문학 읽기,,True,진로,,택4,3-2-선택군5-택4(4),3-2,4,4,16,70:75,4,,,,,,16,,,,,,4,4,,,,,,,,
Table1_Row20,선택군5,심화 영어,,True,진로,,택4,3-2-선택군5-택4(4),3-2,4,4,16,70:75,4,,,,,,16,,,,,,4,4,,,,,,,,
Table1_Row21,선택군6,여행지리,,True,융합,,택2,3-2-선택군6-택2(4),3-2,2,4,8,76:80,4,,,,,,8,,,,,,4,4,,,,,,,,
Table1_Row22,선택군6,윤리문제 탐구,,True,융합,,택2,3-2-선택군6-택2(4),3-2,2,4,8,76:80,4,,,,,,8,,,,,,4,4,,,,,,,,
Table1_Row23,선택군6,금융과 경제생활,,True,융합,,택2,3-2-선택군6-택2(4),3-2,2,4,8,76:80,4,,,,,,8,,,,,,4,4,,,,,,,,
Table1_Row24,선택군6,역사로 탐구하는현대 세계,,True,융합,,택2,3-2-선택군6-택2(4),3-2,2,4,8,76:80,4,,,,,,8,,,,,,4,4,,,,,,,,
Table1_Row25,선택군6,기후변화와 환경생태,,True,융합,,택2,3-2-선택군6-택2(4),3-2,2,4,8,76:80,4,,,,,,8,,,,,,4,4,,,,,,,,
Table1_Row26,선택군7,중국어,,True,일반,,택1,2-1-선택군7-택1(3),2-1,1,3,3,81:83,4,,,3,,,,,,3,,,,3,,,,,,,,
Table1_Row27,선택군7,일본어,,True,일반,,택1,2-1-선택군7-택1(3),2-1,1,3,3,81:83,4,,,3,,,,,,3,,,,3,,,,,,,,
Table1_Row28,선택군7,한문,,True,일반,,택1,2-1-선택군7-택1(3),2-1,1,3,3,81:83,4,,,3,,,,,,3,,,,3,,,,,,,,
Table1_Row29,선택군8,중국어 회화,,True,진로,,택1,2-2-선택군8-택1(3),2-2,1,3,3,84:86,4,,,,3,,,,,,3,,,3,,,,,,,,
Table1_Row30,선택군8,일본어 회화,,True,진로,,택1,2-2-선택군8-택1(3),2-2,1,3,3,84:86,4,,,,3,,,,,,3,,,3,,,,,,,,
Table1_Row31,선택군8,언어생활과 한자,,True,융합,,택1,2-2-선택군8-택1(3),2-2,1,3,3,84:86,4,,,,3,,,,,,3,,,3,,,,,,,,
Table1_Row32,선택군9,진로와 직업,,True,일반,,학기별택1,2-1-선택군9-학기별택1(2),2-1,1,2,2,87:90,3,,,2,2,,,,,2,2,,,2,,,,,,,,
Table1_Row33,선택군9,보건,,True,진로,,학기별택1,2-1-선택군9-학기별택1(2),2-1,1,2,2,87:90,3,,,2,2,,,,,2,2,,,2,,,,,,,,
Table1_Row34,선택군9,교육의 이해,,True,진로,,학기별택1,2-1-선택군9-학기별택1(2),2-1,1,2,2,87:90,3,,,2,2,,,,,2,2,,,2,,,,,,,,
Table1_Row35,선택군9,인간과 심리,,True,진로,,학기별택1,2-1-선택군9-학기별택1(2),2-1,1,2,2,87:90,3,,,2,2,,,,,2,2,,,2,,,,,,,,
Table1_Row36,선택군10,정보,,True,일반,,택1,3-1-선택군10-택1(3),3-1,1,3,3,91:96,4,,,,,3,,,,,,3,,3,,,,,,,,
Table1_Row37,선택군10,로봇과 공학 세계,,True,진로,,택1,3-1-선택군10-택1(3),3-1,1,3,3,91:96,4,,,,,3,,,,,,3,,3,,,,,,,,
Table1_Row38,선택군10,아동발달과 부모,,True,융합,,택1,3-1-선택군10-택1(3),3-1,1,3,3,91:96,4,,,,,3,,,,,,3,,3,,,,,,,,
Table1_Row39,선택군10,중국 문화,,True,융합,,택1,3-1-선택군10-택1(3),3-1,1,3,3,91:96,4,,,,,3,,,,,,3,,3,,,,,,,,
Table1_Row40,선택군10,일본 문화,,True,융합,,택1,3-1-선택군10-택1(3),3-1,1,3,3,91:96,4,,,,,3,,,,,,3,,3,,,,,,,,
Table1_Row41,선택군10,한문 고전 읽기,,True,진로,,택1,3-1-선택군10-택1(3),3-1,1,3,3,91:96,4,,,,,3,,,,,,3,,3,,,,,,,,
