원본행,교과군,과목명,학교지정,학년선택,과목유형,비고_전문_고시외_표6,학생선택_원문,선택군_코드,선택군_학년학기,선택군_선택수,선택군_과목당학점,선택군_총학점,선택군_행범위,기본학점,1-1_원본,1-2_원본,2-1_원본,2-2_원본,3-1_원본,3-2_원본,1-1_학점,1-2_학점,2-1_학점,2-2_학점,3-1_학점,3-2_학점,편성학점,교과군별이수학점,필수이수학점,과학중점,정보중점,사회중점,인문중점,캠공개설여부,비고
35,체육,스포츠 문화,True,,진로,,,,,,,,,2,,,,,1,,,,,,1,,1,10,10,,,,,,
36,체육,스포츠 과학,True,,진로,,,,,,,,,2,,,,,,1,,,,,,1,1,10,10,,,,,,
37,예술,음악,True,,일반,,,,,,,,,3,2,(2),,,,,2,2,,,,,2,4,10,,,,,,
38,예술,미술,True,,일반,,,,,,,,,3,(2),2,,,,,2,2,,,,,2,4,10,,,,,,
39,"기술・가정
/정보",기술·가정,True,,일반,,,,,,,,,4,3,(3),,,,,3,3,,,,,3,8,16,,,,,,
40,"기술・가정
/정보",정보,True,,일반,,,,,,,,,4,(3),3,,,,,3,3,,,,,3,8,16,,True,,,,
41,교양,진로와 직업,True,,일반,,,,,,,,,3,2,(2),,,,,2,2,,,,,2,8,16,,,,,,
42,국어,주제 탐구 독서,,True,진로,,"택4 (3)

*2학년 국수영 최대3개까지",2-1-택4(3),2-1,4,3,12,42:54,4,,,12,,,,,,12,,,,3,12,,,,,True,,
43,수학,인공지능 수학,,True,진로,,"택4 (3)

*2학년 국수영 최대3개까지",2-1-택4(3),2-1,4,3,12,42:54,4,,,12,,,,,,12,,,,3,12,,,,,,,
44,영어,영어 발표와 토론,,True,진로,,"택4 (3)

*2학년 국수영 최대3개까지",2-1-택4(3),2-1,4,3,12,42:54,4,,,12,,,,,,12,,,,3,12,,,,,True,,
45,사회(역사/도덕 포함),세계사,,True,일반,,"택4 (3)

*2학년 국수영 최대3개까지",2-1-택4(3),2-1,4,3,12,42:54,4,,,12,,,,,,12,,,,3,12,,,,,,,
46,사회(역사/도덕 포함),사회와 문화,,True,일반,,"택4 (3)

*2학년 국수영 최대3개까지",2-1-택4(3),2-1,4,3,12,42:54,4,,,12,,,,,,12,,,,3,12,,,,,,,
47,사회(역사/도덕 포함),도시의 미래 탐구,,True,진로,,"택4 (3)

*2학년 국수영 최대3개까지",2-1-택4(3),2-1,4,3,12,42:54,4,,,12,,,,,,12,,,,3,12,,,,True,True,,
48,사회(역사/도덕 포함),경제,,True,진로,,"택4 (3)

*2학년 국수영 최대3개까지",2-1-택4(3),2-1,4,3,12,42:54,4,,,12,,,,,,12,,,,3,12,,,,True,True,,
49,사회(역사/도덕 포함),인문학과 윤리,,True,진로,,"택4 (3)

*2학년 국수영 최대3개까지",2-1-택4(3),2-1,4,3,12,42:54,4,,,12,,,,,,12,,,,3,12,,,,True,True,,
50,과학,물리학,,True,일반,,"택4 (3)

*2학년 국수영 최대3개까지",2-1-택4(3),2-1,4,3,12,42:54,4,,,12,,,,,,12,,,,3,12,,True,,,,,
51,과학,화학,,True,일반,,"택4 (3)

*2학년 국수영 최대3개까지",2-1-택4(3),2-1,4,3,12,42:54,4,,,12,,,,,,12,,,,3,12,,True,,,,,
52,과학,생명과학,,True,일반,,"택4 (3)

*2학년 국수영 최대3개까지",2-1-택4(3),2-1,4,3,12,42:54,4,,,12,,,,,,12,,,,3,12,,True,,,,,
53,과학,지구과학,,True,일반,,"택4 (3)

*2학년 국수영 최대3개까지",2-1-택4(3),2-1,4,3,12,42:54,4,,,12,,,,,,12,,,,3,12,,True,,,,,
54,"기술・가정
/정보",프로그래밍,,True,진로,전문,"택4 (3)

*2학년 국수영 최대3개까지",2-1-택4(3),2-1,4,3,12,42:54,4,,,12,,,,,,12,,,,3,12,,,True,,,,
55,"기술・가정
/정보",인공지능 기초,,True,진로,,택1 (3),2-1-택1(3),2-1,1,3,3,55:58,4,,,3,,,,,,3,,,,3,3,,,True,,,,
56,"기술・가정
/정보",로봇과 공학세계,,True,진로,,택1 (3),2-1-택1(3),2-1,1,3,3,55:58,4,,,3,,,,,,3,,,,3,3,,True,True,,,,
57,"제2외국어
/한문",일본어,,True,일반,,택1 (3),2-1-택1(3),2-1,1,3,3,55:58,4,,,3,,,,,,3,,,,3,3,,,,,True,,
58,"제2외국어
/한문",중국어,,True,일반,,택1 (3),2-1-택1(3),2-1,1,3,3,55:58,4,,,3,,,,,,3,,,,3,3,,,,,True,,
59,국어,언어생활 탐구,,True,융합,,"택4 (3)

*2학년 국수영 최대3개까지",2-2-택4(3),2-2,4,3,12,59:73,4,,,,12,,,,,,12,,,3,12,,,,,True,,
60,국어,매체 의사소통,,True,융합,,"택4 (3)

*2학년 국수영 최대3개까지",2-2-택4(3),2-2,4,3,12,59:73,4,,,,12,,,,,,12,,,3,12,,,,,True,,
61,수학,기하,,True,진로,,"택4 (3)

*2학년 국수영 최대3개까지",2-2-택4(3),2-2,4,3,12,59:73,4,,,,12,,,,,,12,,,3,12,,,,,,,
62,수학,경제 수학,,True,진로,,"택4 (3)

*2학년 국수영 최대3개까지",2-2-택4(3),2-2,4,3,12,59:73,4,,,,12,,,,,,12,,,3,12,,,,,,,
63,영어,영미 문학 읽기,,True,진로,,"택4 (3)

*2학년 국수영 최대3개까지",2-2-택4(3),2-2,4,3,12,59:73,4,,,,12,,,,,,12,,,3,12,,,,,,,
64,영어,실생활 영어 회화,,True,융합,,"택4 (3)

*2학년 국수영 최대3개까지",2-2-택4(3),2-2,4,3,12,59:73,4,,,,12,,,,,,12,,,3,12,,,,,,,
65,사회(역사/도덕 포함),세계시민과 지리,,True,일반,,"택4 (3)

*2학년 국수영 최대3개까지",2-2-택4(3),2-2,4,3,12,59:73,4,,,,12,,,,,,12,,,3,12,,,,,,,
66,사회(역사/도덕 포함),동아시아 역사 기행,,True,진로,,"택4 (3)

*2학년 국수영 최대3개까지",2-2-택4(3),2-2,4,3,12,59:73,4,,,,12,,,,,,12,,,3,12,,,,True,True,,
67,사회(역사/도덕 포함),정치,,True,진로,,"택4 (3)

*2학년 국수영 최대3개까지",2-2-택4(3),2-2,4,3,12,59:73,4,,,,12,,,,,,12,,,3,12,,,,True,True,,
68,사회(역사/도덕 포함),윤리와 사상,,True,진로,,"택4 (3)

*2학년 국수영 최대3개까지",2-2-택4(3),2-2,4,3,12,59:73,4,,,,12,,,,,,12,,,3,12,,,,True,True,,
69,과학,역학과 에너지,,True,진로,,"택4 (3)

*2학년 국수영 최대3개까지",2-2-택4(3),2-2,4,3,12,59:73,4,,,,12,,,,,,12,,,3,12,,True,,,,,
70,과학,물질과 에너지,,True,진로,,"택4 (3)

*2학년 국수영 최대3개까지",2-2-택4(3),2-2,4,3,12,59:73,4,,,,12,,,,,,12,,,3,12,,True,,,,,
71,과학,세포와 물질대사,,True,진로,,"택4 (3)

*2학년 국수영 최대3개까지",2-2-택4(3),2-2,4,3,12,59:73,4,,,,12,,,,,,12,,,3,12,,True,,,,,
72,과학,지구시스템과학,,True,진로,,"택4 (3)

*2학년 국수영 최대3개까지",2-2-택4(3),2-2,4,3,12,59:73,4,,,,12,,,,,,12,,,3,12,,True,,,,,
73,"기술・가정
/정보",사물 인터넷과 센서 제어,,True,진로,전문,"택4 (3)

*2학년 국수영 최대3개까지",2-2-택4(3),2-2,4,3,12,59:73,4,,,,12,,,,,,12,,,3,12,,,True,,,,
74,"기술・가정
/정보",데이터 과학,,True,진로,,택1 (3),2-2-택1(3),2-2,1,3,3,74:77,4,,,,3,,,,,,3,,,3,3,,True,True,,,,
75,"기술・가정
/정보",창의 공학 설계,,True,융합,,택1 (3),2-2-택1(3),2-2,1,3,3,74:77,4,,,,3,,,,,,3,,,3,3,,True,True,,,,
76,"제2외국어
/한문",심화 일본어,,True,진로,,택1 (3),2-2-택1(3),2-2,1,3,3,74:77,4,,,,3,,,,,,3,,,3,3,,,,,True,,
77,"제2외국어
/한문",심화 중국어,,True,진로,,택1 (3),2-2-택1(3),2-2,1,3,3,74:77,4,,,,3,,,,,,3,,,3,3,,,,,True,,
78,국어,독서 토론과 글쓰기,,True,융합,,택1 (3),3-1-택1(3),3-1,1,3,3,78:80,4,,,,,3,,,,,,3,,3,3,,,,,True,,
79,수학,미적분Ⅱ,,True,진로,,택1 (3),3-1-택1(3),3-1,1,3,3,78:80,4,,,,,3,,,,,,3,,3,3,,,,,,,
80,영어,심화 영어,,True,진로,,택1 (3),3-1-택1(3),3-1,1,3,3,78:80,4,,,,,3,,,,,,3,,3,3,,,,,True,,
81,사회(역사/도덕 포함),현대사회와 윤리,,True,일반,,택3 (3),3-1-택3(3),3-1,3,3,9,81:97,4,,,,,9,,,,,,9,,3,9,,,,,,,
82,사회(역사/도덕 포함),한국지리 탐구,,True,진로,,택3 (3),3-1-택3(3),3-1,3,3,9,81:97,4,,,,,9,,,,,,9,,3,9,,,,True,True,,
83,사회(역사/도덕 포함),국제 관계의 이해,,True,진로,,택3 (3),3-1-택3(3),3-1,3,3,9,81:97,4,,,,,9,,,,,,9,,3,9,,,,True,True,,
84,과학,전자기와 양자,,True,진로,,택3 (3),3-1-택3(3),3-1,3,3,9,81:97,4,,,,,9,,,,,,9,,3,9,,True,,,,,
85,과학,화학 반응의 세계,,True,진로,,택3 (3),3-1-택3(3),3-1,3,3,9,81:97,4,,,,,9,,,,,,9,,3,9,,True,,,,,
86,과학,생물의 유전,,True,진로,,택3 (3),3-1-택3(3),3-1,3,3,9,81:97,4,,,,,9,,,,,,9,,3,9,,True,,,,,
87,과학,행성우주과학,,True,진로,,택3 (3),3-1-택3(3),3-1,3,3,9,81:97,4,,,,,9,,,,,,9,,3,9,,True,,,,,
88,과학,물리학 실험,,True,융합,표6,택3 (3),3-1-택3(3),3-1,3,3,9,81:97,4,,,,,9,,,,,,9,,3,9,,True,,,,,
89,과학,화학 실험,,True,융합,표6,택3 (3),3-1-택3(3),3-1,3,3,9,81:97,4,,,,,9,,,,,,9,,3,9,,True,,,,,
90,과학,생명과학 실험,,True,융합,표6,택3 (3),3-1-택3(3),3-1,3,3,9,81:97,4,,,,,9,,,,,,9,,3,9,,True,,,,,
91,과학,지구과학 실험,,True,융합,표6,택3 (3),3-1-택3(3),3-1,3,3,9,81:97,4,,,,,9,,,,,,9,,3,9,,True,,,,,
92,체육,기초 체육 전공 실기,,True,진로,표6,택3 (3),3-1-택3(3),3-1,3,3,9,81:97,4,,,,,9,,,,,,9,,3,9,,,,,,,
93,"기술・가정
/정보",정보과학,,True,진로,표6,택3 (3),3-1-택3(3),3-1,3,3,9,81:97,4,,,,,9,,,,,,9,,3,9,,,True,,,,
94,"기술・가정
/정보",정보과제연구,,True,진로,고시외,택3 (3),3-1-택3(3),3-1,3,3,9,81:97,4,,,,,9,,,,,,9,,3,9,,,True,,,,
95,"제2외국어
/한문",일본어 회화,,True,진로,,택3 (3),3-1-택3(3),3-1,3,3,9,81:97,4,,,,,9,,,,,,9,,3,9,,,,,True,,
96,"제2외국어
/한문",중국어 회화,,True,진로,,택3 (3),3-1-택3(3),3-1,3,3,9,81:97,4,,,,,9,,,,,,9,,3,9,,,,,True,,
97,교양,논술,,True,융합,,택3 (3),3-1-택3(3),3-1,3,3,9,81:97,3,,,,,9,,,,,,9,,3,9,,,,,,,
98,예술,음악 감상과 비평,,True,진로,,택1 (3),3-1-택1(3),3-1,1,3,3,98:99,3,,,,,3,,,,,,3,,3,3,,,,,,,
99,예술,미술 감상과 비평,,True,진로,,택1 (3),3-1-택1(3),3-1,1,3,3,98:99,3,,,,,3,,,,,,3,,3,3,,,,,,,
100,국어,문학과 영상,,True,진로,,"택4 (3)
국수영 각 1개
이상 택",3-2-택4(3),3-2,4,3,12,100:106,4,,,,,,12,,,,,,12,3,12,,,,,True,,
101,국어,직무 의사소통,,True,진로,,"택4 (3)
국수영 각 1개
이상 택",3-2-택4(3),3-2,4,3,12,100:106,4,,,,,,12,,,,,,12,3,12,,,,,True,,
102,수학,실용 통계,,True,융합,,"택4 (3)
국수영 각 1개
이상 택",3-2-택4(3),3-2,4,3,12,100:106,4,,,,,,12,,,,,,12,3,12,,,,,,,
103,수학,수학과 문화,,True,융합,,"택4 (3)
국수영 각 1개
이상 택",3-2-택4(3),3-2,4,3,12,100:106,4,,,,,,12,,,,,,12,3,12,,,,,,,
104,영어,세계 문화와 영어,,True,융합,,"택4 (3)
국수영 각 1개
이상 택",3-2-택4(3),3-2,4,3,12,100:106,4,,,,,,12,,,,,,12,3,12,,,,,True,,
105,영어,미디어 영어,,True,융합,,"택4 (3)
국수영 각 1개
이상 택",3-2-택4(3),3-2,4,3,12,100:106,4,,,,,,12,,,,,,12,3,12,,,,,True,,
106,체육,심화 체육 전공 실기,,True,진로,표6,"택4 (3)
국수영 각 1개
이상 택",3-2-택4(3),3-2,4,3,12,100:106,4,,,,,,12,,,,,,12,3,12,,,,,,,
107,사회(역사/도덕 포함),역사로 탐구하는 현대 세계,,True,융합,,택3 (3),3-2-택3(3),3-2,3,3,9,107:115,4,,,,,,9,,,,,,9,3,9,,,,True,True,,
108,사회(역사/도덕 포함),사회문제 탐구,,True,융합,,택3 (3),3-2-택3(3),3-2,3,3,9,107:115,4,,,,,,9,,,,,,9,3,9,,,,True,True,,
109,사회(역사/도덕 포함),금융과 경제생활,,True,융합,,택3 (3),3-2-택3(3),3-2,3,3,9,107:115,4,,,,,,9,,,,,,9,3,9,,,,True,True,,
110,사회(역사/도덕 포함),기후변화와 지속가능한 세계,,True,융합,,택3 (3),3-2-택3(3),3-2,3,3,9,107:115,4,,,,,,9,,,,,,9,3,9,,,,True,True,,
111,사회(역사/도덕 포함),윤리 문제 탐구,,True,융합,,택3 (3),3-2-택3(3),3-2,3,3,9,107:115,4,,,,,,9,,,,,,9,3,9,,,,True,True,,
112,과학,과학의 역사와 문화,,True,융합,,택3 (3),3-2-택3(3),3-2,3,3,9,107:115,4,,,,,,9,,,,,,9,3,9,,True,,,,,
113,과학,기후변화와 환경생태,,True,융합,,택3 (3),3-2-택3(3),3-2,3,3,9,107:115,4,,,,,,9,,,,,,9,3,9,,True,,,,,
114,과학,융합과학 탐구,,True,융합,,택3 (3),3-2-택3(3),3-2,3,3,9,107:115,4,,,,,,9,,,,,,9,3,9,,True,,,,,
115,과학,과학과제 연구,,True,진로,표6,택3 (3),3-2-택3(3),3-2,3,3,9,107:115,4,,,,,,9,,,,,,9,3,9,,True,,,,,
116,"기술・가정
/정보",소프트웨어와 생활,,True,융합,,택1 (3),3-2-택1(3),3-2,1,3,3,116:121,4,,,,,,3,,,,,,3,3,,,,True,,,,
117,"제2외국어
/한문",일본 문화,,True,융합,,택1 (3),3-2-택1(3),3-2,1,3,3,116:121,4,,,,,,3,,,,,,3,3,,,,,,True,,
118,"제2외국어
/한문",중국 문화,,True,융합,,택1 (3),3-2-택1(3),3-2,1,3,3,116:121,4,,,,,,3,,,,,,3,3,,,,,,True,,
119,교양,보건,,True,진로,,택1 (3),3-2-택1(3),3-2,1,3,3,116:121,3,,,,,,3,,,,,,3,3,,,,,,,,
120,예술,음악 연주와 창작,,True,진로,,택1 (3),3-2-택1(3),3-2,1,3,3,116:121,3,,,,,,3,,,,,,3,3,3,,,,,,,
121,예술,미술 창작,,True,진로,,택1 (3),3-2-택1(3),3-2,1,3,3,116:121,3,,,,,,3,,,,,,3,3,3,,,,,,,
