원본행,교과군,과목명,학교지정,학년선택,과목유형,비고_전문_고시외_표6,학생선택_원문,선택군_코드,선택군_학년학기,선택군_선택수,선택군_과목당학점,선택군_총학점,선택군_행범위,기본학점,1-1_원본,1-2_원본,2-1_원본,2-2_원본,3-1_원본,3-2_원본,1-1_학점,1-2_학점,2-1_학점,2-2_학점,3-1_학점,3-2_학점,편성학점,교과군별이수학점,필수이수학점,과학중점,정보중점,사회중점,인문중점,캠공개설여부,비고
25,과학,통합과학2,True,,공통,,,,,,,,,4,,4,,,,,,4,,,,,4,,,,,,,,
26,과학,과학탐구실험1,True,,공통,,,,,,,,,1,1,,,,,,1,,,,,,1,,,,,,,,
27,과학,과학탐구실험2,True,,공통,,,,,,,,,1,,1,,,,,,1,,,,,1,,,,,,,,
28,체육,체육1,True,,일반,,,,,,,,,3,2,,,,,,2,,,,,,2,10,,,,,,,
29,체육,체육2,True,,일반,,,,,,,,,3,,2,,,,,,2,,,,,2,,,,,,,,
30,체육,스포츠 과학,True,,진로,,,,,,,,,2,,,1,,,,,,1,,,,1,,,,,,,,
31,체육,스포츠 문화,True,,진로,,,,,,,,,2,,,,1,,,,,,1,,,1,,,,,,,,
32,체육,스포츠 생활1,True,,융합,,,,,,,,,3,,,,,2,,,,,,2,,2,,,,,,,,
33,체육,스포츠 생활2,True,,융합,,,,,,,,,3,,,,,,2,,,,,,2,2,,,,,,,,
34,예술,음악↔미술,True,,일반,,,,,,,,,3,,,2,2,,,,,2,2,,,2↔2,4,,,,,,,
35,기술·가정,기술·가정↔정보,True,,일반,,,,,,,,,4,3,3,,,,,3,3,,,,,3↔3,6,,,,,,,
38,사회,사회와 문화,,True,일반,,택3 (4),2-1-선택군A,2-1,3,4,12,38:46,4,,,4,,,,,,4,,,,4,12,,,,,,,
39,사회,세계시민과 지리,,True,일반,,택3 (4),2-1-선택군A,2-1,3,4,12,38:46,4,,,4,,,,,,4,,,,4,,,,,,,,
40,사회,동아시아 역사 기행,,True,진로,,택3 (4),2-1-선택군A,2-1,3,4,12,38:46,4,,,4,,,,,,4,,,,4,,,,,,,,
41,사회,윤리와 사상,,True,진로,,택3 (4),2-1-선택군A,2-1,3,4,12,38:46,4,,,,,,,,,4,,,,4,,,,,,,,
42,사회,윤리문제 탐구,,True,융합,,택3 (4),2-1-선택군A,2-1,3,4,12,38:46,4,,,,,,,,,4,,,,4,,,,,,,,
43,과학,물리학,,True,일반,,택3 (4),2-1-선택군A,2-1,3,4,12,38:46,4,,,,,,,,,4,,,,4,,,,,,,,
44,과학,화학,,True,일반,,택3 (4),2-1-선택군A,2-1,3,4,12,38:46,4,,,,,,,,,4,,,,4,,,,,,,,
45,과학,생명과학,,True,일반,,택3 (4),2-1-선택군A,2-1,3,4,12,38:46,4,,,,,,,,,4,,,,4,,,,,,,,
46,과학,지구과학,,True,일반,,택3 (4),2-1-선택군A,2-1,3,4,12,38:46,4,,,,,,,,,4,,,,4,,,,,,,,
47,수학,기하,,True,진로,,택3 (4),2-2-선택군B,2-2,3,4,12,47:57,4,,,,4,,,,,,4,,,4,12,,,,,,,
48,사회,세계사,,True,일반,,택3 (4),2-2-선택군B,2-2,3,4,12,47:57,4,,,,4,,,,,,4,,,4,,,,,,,,
49,사회,현대사회와 윤리,,True,일반,,택3 (4),2-2-선택군B,2-2,3,4,12,47:57,4,,,,4,,,,,,4,,,4,,,,,,,,
50,사회,법과 사회,,True,진로,,택3 (4),2-2-선택군B,2-2,3,4,12,47:57,4,,,,,,,,,,4,,,4,,,,,,,,
51,사회,경제,,True,진로,,택3 (4),2-2-선택군B,2-2,3,4,12,47:57,4,,,,,,,,,,4,,,4,,,,,,,,
52,사회,도시의 미래 탐구,,True,진로,,택3 (4),2-2-선택군B,2-2,3,4,12,47:57,4,,,,,,,,,,4,,,4,,,,,,,,
53,사회,여행지리,,True,융합,,택3 (4),2-2-선택군B,2-2,3,4,12,47:57,4,,,,,,,,,,4,,,4,,,,,,,,
54,과학,역학과 에너지,,True,진로,,택3 (4),2-2-선택군B,2-2,3,4,12,47:57,4,,,,,,,,,,4,,,4,,,,,,,,
55,과학,물질과 에너지,,True,진로,,택3 (4),2-2-선택군B,2-2,3,4,12,47:57,4,,,,,,,,,,4,,,4,,,,,,,,
56,과학,세포와 물질대사,,True,진로,,택3 (4),2-2-선택군B,2-2,3,4,12,47:57,4,,,,,,,,,,4,,,4,,,,,,,,
57,과학,지구시스템과학,,True,진로,,택3 (4),2-2-선택군B,2-2,3,4,12,47:57,4,,,,,,,,,,4,,,4,,,,,,,,
58,제2외국어,일본어,,True,일반,,택1 (3),2-1-선택군C,2-1,1,3,3,58:59,4,,,3,,,,,,3,,,,3,3,,,,,,,
59,제2외국어,중국어,,True,일반,,택1 (3),2-1-선택군C,2-1,1,3,3,58:59,4,,,,,,,,,3,,,,3,,,,,,,,
60,제2외국어,일본어 회화,,True,진로,,택1 (3),2-2-선택군D,2-2,1,3,3,60:61,4,,,,3,,,,,,3,,,3,3,,,,,,,
61,제2외국어,중국어 회화,,True,진로,,택1 (3),2-2-선택군D,2-2,1,3,3,60:61,4,,,,,,,,,,3,,,3,,,,,,,,
62,수학,미적분Ⅱ,,True,진로,,택3 (3),3-1-선택군E,3-1,3,3,9,62:76,4,,,,,3,,,,,,3,,3,9,,,,,,,
63,사회,정치,,True,진로,,택3 (3),3-1-선택군E,3-1,3,3,9,62:76,4,,,,,3,,,,,,3,,3,,,,,,,,
64,사회,국제 관계의 이해,,True,진로,,택3 (3),3-1-선택군E,3-1,3,3,9,62:76,4,,,,,3,,,,,,3,,3,,,,,,,,
65,사회,한국지리 탐구,,True,진로,,택3 (3),3-1-선택군E,3-1,3,3,9,62:76,4,,,,,,,,,,,3,,3,,,,,,,,
66,사회,인문학과 윤리,,True,진로,,택3 (3),3-1-선택군E,3-1,3,3,9,62:76,4,,,,,,,,,,,3,,3,,,,,,,,
67,사회,사회문제 탐구,,True,융합,,택3 (3),3-1-선택군E,3-1,3,3,9,62:76,4,,,,,,,,,,,3,,3,,,,,,,,
68,과학,전자기와 양자,,True,진로,,택3 (3),3-1-선택군E,3-1,3,3,9,62:76,4,,,,,,,,,,,3,,3,,,,,,,,
69,과학,화학 반응의 세계,,True,진로,,택3 (3),3-1-선택군E,3-1,3,3,9,62:76,4,,,,,,,,,,,3,,3,,,,,,,,
70,과학,생물의 유전,,True,진로,,택3 (3),3-1-선택군E,3-1,3,3,9,62:76,4,,,,,,,,,,,3,,3,,,,,,,,
71,과학,행성우주과학,,True,진로,,택3 (3),3-1-선택군E,3-1,3,3,9,62:76,4,,,,,,,,,,,3,,3,,,,,,,,
72,과학,융합과학 탐구,,True,융합,,택3 (3),3-1-선택군E,3-1,3,3,9,62:76,4,,,,,,,,,,,3,,3,,,,,,,,
73,기술·가정,창의 공학 설계,,True,융합,,택3 (3),3-1-선택군E,3-1,3,3,9,62:76,4,,,,,,,,,,,3,,3,,,,,,,,
74,정보,인공지능 기초,,True,진로,,택3 (3),3-1-선택군E,3-1,3,3,9,62:76,4,,,,,,,,,,,3,,3,,,,,,,,
75,제2외국어,일본 문화,,True,융합,,택3 (3),3-1-선택군E,3-1,3,3,9,62:76,4,,,,,,,,,,,3,,3,,,,,,,,
76,제2외국어,중국 문화,,True,융합,,택3 (3),3-1-선택군E,3-1,3,3,9,62:76,4,,,,,,,,,,,3,,3,,,,,,,,
77,예술,음악 연주와 창작,,True,진로,,택1 (3),3-1-선택군F,3-1,1,3,3,77:78,3,,,,,3,,,,,,3,,3,3,,,,,,,
78,예술,미술과 매체,,True,융합,,택1 (3),3-1-선택군F,3-1,1,3,3,77:78,3,,,,,,,,,,,3,,3,,,,,,,,
79,교양,보건,,True,진로,,택1 (2),3-1-선택군G,3-1,1,2,2,79:81,3,,,,,2,,,,,,2,,2,2,,,,,,,
80,교양,생태와 환경,,True,일반,,택1 (2),3-1-선택군G,3-1,1,2,2,79:81,3,,,,,,,,,,,2,,2,,,,,,,,
81,교양,인간과 심리,,True,진로,,택1 (2),3-1-선택군G,3-1,1,2,2,79:81,3,,,,,,,,,,,2,,2,,,,,,,,
82,국어,주제 탐구 독서,,True,진로,,택3 (4),3-2-선택군H,3-2,3,4,12,82:87,4,,,,,,4,,,,,,4,4,12,,,,,,,
83,국어,문학과 영상,,True,진로,,택3 (4),3-2-선택군H,3-2,3,4,12,82:87,4,,,,,,4,,,,,,4,4,,,,,,,,
84,수학,실용 통계,,True,융합,,택3 (4),3-2-선택군H,3-2,3,4,12,82:87,4,,,,,,4,,,,,,4,4,,,,,,,,
85,수학,수학과 문화,,True,융합,,택3 (4),3-2-선택군H,3-2,3,4,12,82:87,4,,,,,,,,,,,,4,4,,,,,,,,
86,영어,심화 영어 독해와 작문,,True,진로,,택3 (4),3-2-선택군H,3-2,3,4,12,82:87,4,,,,,,,,,,,,4,4,,,,,,,,
87,영어,실생활 영어 회화,,True,융합,,택3 (4),3-2-선택군H,3-2,3,4,12,82:87,4,,,,,,,,,,,,4,4,,,,,,,,
88,사회,역사로 탐구하는 현대 세계,,True,융합,,택3 (3),3-2-선택군I,3-2,3,3,9,88:95,4,,,,,,3,,,,,,3,3,9,,,,,,,
89,사회,기후변화와 지속가능한 세계,,True,융합,,택3 (3),3-2-선택군I,3-2,3,3,9,88:95,4,,,,,,3,,,,,,3,3,,,,,,,,
90,과학,과학의 역사와 문화,,True,융합,,택3 (3),3-2-선택군I,3-2,3,3,9,88:95,4,,,,,,3,,,,,,3,3,,,,,,,,
91,과학,기후변화와 환경생태,,True,융합,,택3 (3),3-2-선택군I,3-2,3,3,9,88:95,4,,,,,,,,,,,,3,3,,,,,,,,
92,기술·가정,지식 재산 일반,,True,융합,,택3 (3),3-2-선택군I,3-2,3,3,9,88:95,4,,,,,,,,,,,,3,3,,,,,,,,
93,정보,소프트웨어와 생활,,True,융합,,택3 (3),3-2-선택군I,3-2,3,3,9,88:95,4,,,,,,,,,,,,3,3,,,,,,,,
94,제2외국어,심화 일본어,,True,진로,,택3 (3),3-2-선택군I,3-2,3,3,9,88:95,4,,,,,,,,,,,,3,3,,,,,,,,
95,제2외국어,심화 중국어,,True,진로,,택3 (3),3-2-선택군I,3-2,3,3,9,88:95,4,,,,,,,,,,,,3,3,,,,,,,,
96,예술,음악과 미디어,,True,융합,,택1 (3),3-2-선택군J,3-2,1,3,3,96:97,3,,,,,,3,,,,,,3,3,3,,,,,,,
97,예술,미술 창작,,True,진로,,택1 (3),3-2-선택군J,3-2,1,3,3,96:97,3,,,,,,,,,,,,3,3,,,,,,,,
98,교양,인간과 철학,,True,진로,,택1 (2),3-2-선택군K,3-2,1,2,2,98:100,3,,,,,,2,,,,,,2,2,2,,,,,,,
99,교양,논리와 사고,,True,진로,,택1 (2),3-2-선택군K,3-2,1,2,2,98:100,3,,,,,,,,,,,,2,2,,,,,,,,
100,교양,인간과 경제활동,,True,융합,,택1 (2),3-2-선택군K,3-2,1,2,2,98:100,3,,,,,,,,,,,,2,2,,,,,,,,
